Index,Exit Epoch,Balance (ETH),Effective Balance (ETH),Status
99517,291516,0.0000,0.0000,exited
99518,291516,0.0000,0.0000,exited
99519,291516,0.0000,0.0000,exited
99520,291516,0.0000,0.0000,exited
99521,291516,0.0000,0.0000,exited
99522,291516,0.0000,0.0000,exited
99523,291516,0.0000,0.0000,exited
99524,291516,0.0000,0.0000,exited
99525,291516,0.0000,0.0000,exited
99526,291516,0.0000,0.0000,exited
99528,289930,0.0000,0.0000,exited
99529,289930,0.0000,0.0000,exited
99530,289930,0.0000,0.0000,exited
99532,289930,0.0000,0.0000,exited
99533,289930,0.0000,0.0000,exited
99527,289929,0.0000,0.0000,exited
99534,289929,0.0000,0.0000,exited
99535,289929,0.0000,0.0000,exited
99536,289929,0.0000,0.0000,exited
99537,289929,0.0000,0.0000,exited
99538,289929,0.0000,0.0000,exited
99539,289929,0.0000,0.0000,exited
99540,289929,0.0000,0.0000,exited
99541,289929,0.0000,0.0000,exited
99542,289929,0.0000,0.0000,exited
99543,289929,0.0000,0.0000,exited
99544,289929,0.0000,0.0000,exited
99545,289929,0.0000,0.0000,exited
99546,289929,0.0000,0.0000,exited
99547,289929,0.0000,0.0000,exited
99549,269072,0.0000,0.0000,exited
99551,269072,0.0000,0.0000,exited
99552,269072,0.0000,0.0000,exited
99553,269072,0.0000,0.0000,exited
99554,269072,0.0000,0.0000,exited
99555,269072,0.0000,0.0000,exited
99548,269071,0.0000,0.0000,exited
99563,269071,0.0000,0.0000,exited
99564,269071,0.0000,0.0000,exited
99565,269071,0.0000,0.0000,exited
99566,269071,0.0000,0.0000,exited
99567,269071,0.0000,0.0000,exited
99568,269071,0.0000,0.0000,exited
99569,269071,0.0000,0.0000,exited
99570,269071,0.0000,0.0000,exited
99571,269071,0.0000,0.0000,exited
99572,269071,0.0000,0.0000,exited
99574,269071,0.0000,0.0000,exited
99575,269071,0.0000,0.0000,exited
99576,269071,0.0000,0.0000,exited
99578,264609,0.0000,0.0000,exited
99579,264609,0.0000,0.0000,exited
99581,264609,0.0000,0.0000,exited
99582,264609,0.0000,0.0000,exited
99583,264609,0.0000,0.0000,exited
99584,264609,0.0000,0.0000,exited
99585,264609,0.0000,0.0000,exited
99586,264609,0.0000,0.0000,exited
99577,264608,0.0000,0.0000,exited
99587,264608,0.0000,0.0000,exited
99588,264608,0.0000,0.0000,exited
99589,264608,0.0000,0.0000,exited
99590,264608,0.0000,0.0000,exited
99591,264608,0.0000,0.0000,exited
99592,264608,0.0000,0.0000,exited
99593,264608,0.0000,0.0000,exited
99594,264608,0.0000,0.0000,exited
99595,264608,0.0000,0.0000,exited
99596,264608,0.0000,0.0000,exited
99597,264608,0.0000,0.0000,exited
99598,264608,0.0000,0.0000,exited
99599,264608,0.0000,0.0000,exited
99600,249789,0.0000,0.0000,exited
99603,249789,0.0000,0.0000,exited
99604,249789,0.0000,0.0000,exited
99605,249789,0.0000,0.0000,exited
99606,249789,0.0000,0.0000,exited
99607,249789,0.0000,0.0000,exited
99608,249789,0.0000,0.0000,exited
99609,249789,0.0000,0.0000,exited
99610,249789,0.0000,0.0000,exited
99612,249789,0.0000,0.0000,exited
99617,249789,0.0000,0.0000,exited
99618,249789,0.0000,0.0000,exited
99601,249788,0.0000,0.0000,exited
99602,249788,0.0000,0.0000,exited
99611,249788,0.0000,0.0000,exited
99613,249788,0.0000,0.0000,exited
99614,249788,0.0000,0.0000,exited
99615,249788,0.0000,0.0000,exited
99616,249788,0.0000,0.0000,exited
99620,249788,0.0000,0.0000,exited
99623,249788,0.0000,0.0000,exited
99624,249788,0.0000,0.0000,exited
99627,249788,0.0000,0.0000,exited
99631,249788,0.0000,0.0000,exited
99632,249788,0.0000,0.0000,exited
99621,249787,0.0000,0.0000,exited
99622,249787,0.0000,0.0000,exited
99626,249787,0.0000,0.0000,exited
99628,249787,0.0000,0.0000,exited
99629,249787,0.0000,0.0000,exited
99630,249787,0.0000,0.0000,exited
99633,249787,0.0000,0.0000,exited
99634,249787,0.0000,0.0000,exited
99635,249787,0.0000,0.0000,exited
99636,249787,0.0000,0.0000,exited
99637,249787,0.0000,0.0000,exited
99638,249787,0.0000,0.0000,exited
99639,249787,0.0000,0.0000,exited
99619,249786,0.0000,0.0000,exited
99640,249786,0.0000,0.0000,exited
99641,249786,0.0000,0.0000,exited
99642,249786,0.0000,0.0000,exited
99643,249786,0.0000,0.0000,exited
99644,249786,0.0000,0.0000,exited
99645,249786,0.0000,0.0000,exited
99646,249786,0.0000,0.0000,exited
99647,249786,0.0000,0.0000,exited
99648,249786,0.0000,0.0000,exited
115030,225082,0.0000,0.0000,exited
115033,225082,0.0000,0.0000,exited
115038,225082,0.0000,0.0000,exited
115039,225082,0.0000,0.0000,exited
115041,225082,0.0000,0.0000,exited
115042,225082,0.0000,0.0000,exited
115043,225082,0.0000,0.0000,exited
99650,225081,0.0000,0.0000,exited
99651,225081,0.0000,0.0000,exited
99653,225081,0.0000,0.0000,exited
99655,225081,0.0000,0.0000,exited
99656,225081,0.0000,0.0000,exited
99657,225081,0.0000,0.0000,exited
99658,225081,0.0000,0.0000,exited
115028,225081,0.0000,0.0000,exited
115031,225081,0.0000,0.0000,exited
115032,225081,0.0000,0.0000,exited
115045,225081,0.0000,0.0000,exited
99649,225080,0.0000,0.0000,exited
99652,225080,0.0000,0.0000,exited
99654,225080,0.0000,0.0000,exited
115027,225080,0.0000,0.0000,exited
115029,225080,0.0000,0.0000,exited
115034,225080,0.0000,0.0000,exited
115035,225080,0.0000,0.0000,exited
115036,225080,0.0000,0.0000,exited
115037,225080,0.0000,0.0000,exited
115040,225080,0.0000,0.0000,exited
115044,225080,0.0000,0.0000,exited
115048,224594,0.0000,0.0000,exited
115056,224594,0.0000,0.0000,exited
115046,224593,0.0000,0.0000,exited
115047,224593,0.0000,0.0000,exited
115049,224593,0.0000,0.0000,exited
115050,224593,0.0000,0.0000,exited
115051,224593,0.0000,0.0000,exited
115052,224593,0.0000,0.0000,exited
115053,224593,0.0000,0.0000,exited
115054,224593,0.0000,0.0000,exited
115055,224593,0.0000,0.0000,exited
115057,224593,0.0000,0.0000,exited
115079,222431,0.0000,0.0000,exited
115080,222431,0.0000,0.0000,exited
115081,222431,0.0000,0.0000,exited
115068,222430,0.0000,0.0000,exited
115069,222430,0.0000,0.0000,exited
115070,222430,0.0000,0.0000,exited
115071,222430,0.0000,0.0000,exited
115072,222430,0.0000,0.0000,exited
115073,222430,0.0000,0.0000,exited
115074,222430,0.0000,0.0000,exited
115075,222430,0.0000,0.0000,exited
115076,222430,0.0000,0.0000,exited
115077,222430,0.0000,0.0000,exited
115078,222430,0.0000,0.0000,exited
115058,222429,0.0000,0.0000,exited
115059,222429,0.0000,0.0000,exited
115060,222429,0.0000,0.0000,exited
115061,222429,0.0000,0.0000,exited
115062,222429,0.0000,0.0000,exited
115063,222429,0.0000,0.0000,exited
115064,222429,0.0000,0.0000,exited
115065,222429,0.0000,0.0000,exited
115066,222429,0.0000,0.0000,exited
115067,222429,0.0000,0.0000,exited
115082,222429,0.0000,0.0000,exited
115088,221468,0.0000,0.0000,exited
115089,221468,0.0000,0.0000,exited
115090,221468,0.0000,0.0000,exited
115084,221467,0.0000,0.0000,exited
115087,221467,0.0000,0.0000,exited
115092,221467,0.0000,0.0000,exited
115093,221467,0.0000,0.0000,exited
115096,221467,0.0000,0.0000,exited
115098,221467,0.0000,0.0000,exited
115099,221467,0.0000,0.0000,exited
115100,221467,0.0000,0.0000,exited
115101,221467,0.0000,0.0000,exited
115104,221467,0.0000,0.0000,exited
115106,221467,0.0000,0.0000,exited
115083,221466,0.0000,0.0000,exited
115085,221466,0.0000,0.0000,exited
115086,221466,0.0000,0.0000,exited
115091,221466,0.0000,0.0000,exited
115094,221466,0.0000,0.0000,exited
115095,221466,0.0000,0.0000,exited
115097,221466,0.0000,0.0000,exited
115102,221466,0.0000,0.0000,exited
115103,221466,0.0000,0.0000,exited
115105,221466,0.0000,0.0000,exited
115117,221466,0.0000,0.0000,exited
115139,221463,0.0000,0.0000,exited
115140,221463,0.0000,0.0000,exited
115141,221463,0.0000,0.0000,exited
115128,221462,0.0000,0.0000,exited
115129,221462,0.0000,0.0000,exited
115130,221462,0.0000,0.0000,exited
115131,221462,0.0000,0.0000,exited
115132,221462,0.0000,0.0000,exited
115133,221462,0.0000,0.0000,exited
115134,221462,0.0000,0.0000,exited
115135,221462,0.0000,0.0000,exited
115136,221462,0.0000,0.0000,exited
115137,221462,0.0000,0.0000,exited
115138,221462,0.0000,0.0000,exited
115118,221461,0.0000,0.0000,exited
115119,221461,0.0000,0.0000,exited
115120,221461,0.0000,0.0000,exited
115121,221461,0.0000,0.0000,exited
115122,221461,0.0000,0.0000,exited
115123,221461,0.0000,0.0000,exited
115124,221461,0.0000,0.0000,exited
115125,221461,0.0000,0.0000,exited
115126,221461,0.0000,0.0000,exited
115127,221461,0.0000,0.0000,exited
115142,221461,0.0000,0.0000,exited
115164,221456,0.0000,0.0000,exited
115165,221456,0.0000,0.0000,exited
115166,221456,0.0000,0.0000,exited
115153,221455,0.0000,0.0000,exited
115154,221455,0.0000,0.0000,exited
115155,221455,0.0000,0.0000,exited
115156,221455,0.0000,0.0000,exited
115157,221455,0.0000,0.0000,exited
115158,221455,0.0000,0.0000,exited
115159,221455,0.0000,0.0000,exited
115160,221455,0.0000,0.0000,exited
115161,221455,0.0000,0.0000,exited
115162,221455,0.0000,0.0000,exited
115163,221455,0.0000,0.0000,exited
115143,221454,0.0000,0.0000,exited
115144,221454,0.0000,0.0000,exited
115145,221454,0.0000,0.0000,exited
115146,221454,0.0000,0.0000,exited
115147,221454,0.0000,0.0000,exited
115148,221454,0.0000,0.0000,exited
115149,221454,0.0000,0.0000,exited
115150,221454,0.0000,0.0000,exited
115151,221454,0.0000,0.0000,exited
115152,221454,0.0000,0.0000,exited
115167,221454,0.0000,0.0000,exited
115198,220377,0.0000,0.0000,exited
115199,220377,0.0000,0.0000,exited
115200,220377,0.0000,0.0000,exited
115201,220377,0.0000,0.0000,exited
115202,220377,0.0000,0.0000,exited
115203,220377,0.0000,0.0000,exited
115204,220377,0.0000,0.0000,exited
115205,220377,0.0000,0.0000,exited
115206,220377,0.0000,0.0000,exited
115184,220376,0.0000,0.0000,exited
115185,220376,0.0000,0.0000,exited
115186,220376,0.0000,0.0000,exited
115191,220376,0.0000,0.0000,exited
115192,220376,0.0000,0.0000,exited
115193,220376,0.0000,0.0000,exited
115194,220376,0.0000,0.0000,exited
115195,220376,0.0000,0.0000,exited
115196,220376,0.0000,0.0000,exited
115197,220376,0.0000,0.0000,exited
115178,220375,0.0000,0.0000,exited
115179,220375,0.0000,0.0000,exited
115180,220375,0.0000,0.0000,exited
115181,220375,0.0000,0.0000,exited
115182,220375,0.0000,0.0000,exited
115183,220375,0.0000,0.0000,exited
115187,220375,0.0000,0.0000,exited
115188,220375,0.0000,0.0000,exited
115189,220375,0.0000,0.0000,exited
115190,220375,0.0000,0.0000,exited
115168,220374,0.0000,0.0000,exited
115169,220374,0.0000,0.0000,exited
115170,220374,0.0000,0.0000,exited
115171,220374,0.0000,0.0000,exited
115172,220374,0.0000,0.0000,exited
115173,220374,0.0000,0.0000,exited
115174,220374,0.0000,0.0000,exited
115175,220374,0.0000,0.0000,exited
115176,220374,0.0000,0.0000,exited
115177,220374,0.0000,0.0000,exited
115248,220353,0.0000,0.0000,exited
115227,220352,0.0000,0.0000,exited
115229,220352,0.0000,0.0000,exited
115230,220352,0.0000,0.0000,exited
115236,220352,0.0000,0.0000,exited
115237,220352,0.0000,0.0000,exited
115239,220352,0.0000,0.0000,exited
115242,220352,0.0000,0.0000,exited
115243,220352,0.0000,0.0000,exited
115244,220352,0.0000,0.0000,exited
115246,220352,0.0000,0.0000,exited
115211,220351,0.0000,0.0000,exited
115214,220351,0.0000,0.0000,exited
115216,220351,0.0000,0.0000,exited
115217,220351,0.0000,0.0000,exited
115219,220351,0.0000,0.0000,exited
115220,220351,0.0000,0.0000,exited
115221,220351,0.0000,0.0000,exited
115223,220351,0.0000,0.0000,exited
115224,220351,0.0000,0.0000,exited
115226,220351,0.0000,0.0000,exited
115207,220350,0.0000,0.0000,exited
115208,220350,0.0000,0.0000,exited
115209,220350,0.0000,0.0000,exited
115210,220350,0.0000,0.0000,exited
115222,220350,0.0000,0.0000,exited
115225,220350,0.0000,0.0000,exited
115232,220350,0.0000,0.0000,exited
115238,220350,0.0000,0.0000,exited
115240,220350,0.0000,0.0000,exited
115247,220350,0.0000,0.0000,exited
115212,220349,0.0000,0.0000,exited
115213,220349,0.0000,0.0000,exited
115215,220349,0.0000,0.0000,exited
115218,220349,0.0000,0.0000,exited
115228,220349,0.0000,0.0000,exited
115233,220349,0.0000,0.0000,exited
115234,220349,0.0000,0.0000,exited
115235,220349,0.0000,0.0000,exited
115241,220349,0.0000,0.0000,exited
115245,220349,0.0000,0.0000,exited
115264,218562,0.0000,0.0000,exited
115266,218562,0.0000,0.0000,exited
115267,218562,0.0000,0.0000,exited
115270,218562,0.0000,0.0000,exited
115272,218562,0.0000,0.0000,exited
115258,218561,0.0000,0.0000,exited
115259,218561,0.0000,0.0000,exited
115260,218561,0.0000,0.0000,exited
115261,218561,0.0000,0.0000,exited
115262,218561,0.0000,0.0000,exited
115263,218561,0.0000,0.0000,exited
115265,218561,0.0000,0.0000,exited
115268,218561,0.0000,0.0000,exited
115269,218561,0.0000,0.0000,exited
115271,218561,0.0000,0.0000,exited
115249,218560,0.0000,0.0000,exited
115250,218560,0.0000,0.0000,exited
115251,218560,0.0000,0.0000,exited
115252,218560,0.0000,0.0000,exited
115253,218560,0.0000,0.0000,exited
115254,218560,0.0000,0.0000,exited
115255,218560,0.0000,0.0000,exited
115256,218560,0.0000,0.0000,exited
115257,218560,0.0000,0.0000,exited
115273,218560,0.0000,0.0000,exited
115274,218559,0.0000,0.0000,exited
115275,218559,0.0000,0.0000,exited
115276,218559,0.0000,0.0000,exited
115279,218559,0.0000,0.0000,exited
115281,218559,0.0000,0.0000,exited
115282,218559,0.0000,0.0000,exited
115284,218559,0.0000,0.0000,exited
115290,218559,0.0000,0.0000,exited
115292,218559,0.0000,0.0000,exited
115293,218559,0.0000,0.0000,exited
115277,218558,0.0000,0.0000,exited
115278,218558,0.0000,0.0000,exited
115280,218558,0.0000,0.0000,exited
115283,218558,0.0000,0.0000,exited
115285,218558,0.0000,0.0000,exited
115286,218558,0.0000,0.0000,exited
115287,218558,0.0000,0.0000,exited
115288,218558,0.0000,0.0000,exited
115289,218558,0.0000,0.0000,exited
115291,218558,0.0000,0.0000,exited
115302,218557,0.0000,0.0000,exited
115304,218557,0.0000,0.0000,exited
115305,218557,0.0000,0.0000,exited
115306,218557,0.0000,0.0000,exited
115307,218557,0.0000,0.0000,exited
