Index,Exit Epoch,Balance at Exit (ETH),Effective Balance at Exit (ETH),Withdrawal Address
99532,289930,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99645,249786,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99643,249786,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99544,289929,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99540,289929,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99539,289929,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99652,225080,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99549,269072,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99518,291516,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99589,264608,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99644,249786,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99606,249789,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99538,289929,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99639,249787,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99522,291516,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99520,291516,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99594,264608,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99592,264608,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99636,249787,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99533,289930,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99529,289930,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99554,269072,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99552,269072,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99530,289930,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99601,249788,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99634,249787,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99627,249788,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99543,289929,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99524,291516,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99614,249788,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99597,264608,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99587,264608,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99651,225081,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99629,249787,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99555,269072,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99600,249789,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99607,249789,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99619,249786,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99630,249787,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99631,249788,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
99632,249788,0.0000,0.0000,0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e
